filename,num_text_blocks,avg_confidence
receipt_00000.png,8,0.8136746110394597
receipt_00004.png,5,0.5212317346595228
receipt_00005.png,4,0.9923439249396324
receipt_00006.png,5,0.948257127031684
receipt_00007.png,4,0.7773800995200872
receipt_00008.png,3,0.8240414330114921
receipt_00010.png,4,0.9891771581023932
receipt_00011.png,1,0.9812615662813187
receipt_00012.png,7,0.8411165443914277
receipt_00014.png,4,0.7692596695947032
receipt_00015.png,6,0.887153015161554
receipt_00016.png,3,0.9182293789441852
receipt_00018.png,3,0.976108598212401
receipt_00019.png,1,0.5057772994041443
receipt_00020.png,3,0.5336634592774013
receipt_00021.png,3,0.963930274049441
receipt_00022.png,3,0.9744871978958448
receipt_00023.png,3,0.9941397234797478
receipt_00024.png,7,0.8170774914324284
receipt_00025.png,3,0.9874209289749464
receipt_00026.png,1,0.868571549654007
receipt_00027.png,4,0.9509169608354568
receipt_00028.png,3,0.9767362624406815
receipt_00029.png,6,0.8853908150146405
receipt_00030.png,2,0.7479333076626062
receipt_00031.png,5,0.969182987511158
receipt_00032.png,2,0.998935392126441
receipt_00033.png,4,0.9145529866218567
receipt_00034.png,3,0.8164449393128356
receipt_00035.png,3,0.9200470435122649
receipt_00036.png,5,0.9284832090139389
receipt_00037.png,4,0.9930436741560698
receipt_00038.png,5,0.8856838294464978
receipt_00040.png,3,0.49383073051770526
receipt_00041.png,3,0.9776026018710885
receipt_00042.png,7,0.5408786801355225
receipt_00043.png,4,0.929639789275825
receipt_00044.png,5,0.9134267687797546
receipt_00045.png,5,0.848467506468296
receipt_00046.png,4,0.9775691851973534
receipt_00047.png,4,0.9731896200100891
receipt_00048.png,3,0.9733718174199263
receipt_00049.png,2,0.7965889107435942
receipt_00050.png,4,0.6680333190597594
receipt_00051.png,5,0.9435283408936812
receipt_00052.png,3,0.9812767095863819
receipt_00053.png,4,0.6480468410009053
receipt_00054.png,3,0.8230533823370934
receipt_00055.png,3,0.9733656446139017
receipt_00056.png,6,0.8524392899125814
receipt_00057.png,4,0.8488995805382729
receipt_00058.png,1,0.9038471877574921
receipt_00059.png,6,0.7726915298650662
receipt_00062.png,5,0.9848668642342091
receipt_00063.png,5,0.7941134600434452
receipt_00064.png,3,0.880185586710771
receipt_00065.png,3,0.9780686497688293
receipt_00066.png,4,0.6395247578620911
receipt_00067.png,4,0.7999188154935837
receipt_00068.png,4,0.7363003809005022
receipt_00069.png,4,0.9695346234366298
receipt_00070.png,4,0.9728409738882107
receipt_00072.png,8,0.7804999579675496
receipt_00073.png,6,0.9483125116676092
receipt_00074.png,8,0.9486615373753011
receipt_00075.png,4,0.9010021367575973
receipt_00076.png,4,0.904661656357348
receipt_00077.png,5,0.8119070962071419
receipt_00078.png,5,0.9874783307313919
receipt_00079.png,10,0.8027385044842958
receipt_00080.png,2,0.9305274267680943
receipt_00081.png,4,0.9737167507410049
receipt_00082.png,7,0.9902604773108449
receipt_00084.png,3,0.9017180401521424
receipt_00085.png,3,0.9650903301699145
receipt_00086.png,5,0.9464623909443617
receipt_00087.png,4,0.42642621346749365
receipt_00088.png,4,0.9547413289546967
receipt_00089.png,4,0.8331173732876778
receipt_00090.png,4,0.986317896284163
receipt_00091.png,5,0.88550511226058
receipt_00092.png,6,0.9437141989668211
receipt_00093.png,5,0.6542514212429523
receipt_00094.png,6,0.8244320602195027
receipt_00095.png,3,0.5455347492049137
receipt_00096.png,3,0.9437408273418745
receipt_00097.png,5,0.9598306372761727
receipt_00098.png,6,0.780974612236605
receipt_00000.png,7,0.6623902936600956
receipt_00001.png,4,0.9298608943936415
receipt_00002.png,4,0.8127769824932329
receipt_00003.png,2,0.8003075895830989
